id,first_name,last_name,aadhaar_number,gender,age,blood_group,blood_pressure,cholestrol,heart_rate,disabled,diagnosis
1,Talbot,Holtham,694208847464,Male,13,A+,130/90,180.51,174,No,Amogus disease
2,Jean,Trownson,244197509608,Female,65,A-,125/85,168.74,137,No,Gastroenteritis
3,Talbot,Holtham,429438847464,Male,13,A+,130/90,180.51,174,No,"Sussy disease, Influenza, Flu"
9,Coral,Jemmett,679870335491,Female,98,O-,130/90,178.0,178,No,Osteoarthritis
10,Coral,Jemmett,679870335491,Female,98,O-,130/90,178.0,178,No,Osteoarthritis
11,Guenna,Hedingham,281685887512,Female,97,AB-,125/85,107.79,151,No,Pancreatic cancer
1,Talbot,Holtham,429438847464,Male,13,A+,130/90,180.51,174,No,"Parkinson's disease, Influenza"
2,Jean,Trownson,244197509608,Female,65,A-,125/85,168.74,137,No,Gastroenteritis
3,Denyse,Snow,685853616616,Female,87,AB-,125/85,239.78,147,Yes,Gastroesophageal reflux disease (GERD)
4,Amelita,Tant,442014689766,Female,27,O-,120/80,134.52,125,No,Insomnia
5,Tabina,Boldecke,434899659244,Polygender,51,O-,125/85,185.37,72,Yes,Amyotrophic lateral sclerosis (ALS)
6,Staci,McCritchie,914507442667,Female,25,O-,125/85,189.14,128,No,Malaria
7,Ealasaid,Considine,496508275191,Female,35,O+,125/85,173.25,61,No,Diverticulitis
8,Lynnet,Kleinhaus,958991878655,Non-binary,62,O-,130/90,144.28,151,Yes,Turner syndrome
9,Coral,Jemmett,679870335491,Female,98,O-,130/90,178.0,178,No,Osteoarthritis
10,Josias,Darridon,794556123654,Male,40,AB+,130/90,196.77,75,Yes,Insomnia
11,Guenna,Hedingham,281685887512,Female,97,AB-,125/85,107.79,151,No,Pancreatic cancer
12,Maggie,Thorouggood,460174666266,Female,53,A-,110/70,191.68,145,No,Myeloma
13,Smith,Khilkov,526861732379,Male,19,A-,110/70,152.69,103,Yes,Osteoarthritis
14,Axe,Redmire,754728643100,Male,59,A-,125/85,150.77,190,No,Huntington's disease
15,Hillie,Tune,716367481373,Male,45,AB-,120/80,267.25,172,Yes,Amyotrophic lateral sclerosis (ALS)
16,Torrin,Spridgeon,870140201499,Male,30,AB+,125/85,152.73,101,No,Addison's disease
17,Forest,Curdell,576681331230,Male,89,B-,110/70,130.84,79,No,Thrombosis
18,Cam,Atcherley,946088143393,Female,26,A-,110/70,227.3,125,No,Eczema
19,Sargent,Shemmin,818668440104,Male,53,O+,140/95,298.36,120,Yes,Thalassemia
20,Pasquale,Stiffkins,218570861098,Male,6,B-,125/85,114.52,63,Yes,Gastroesophageal reflux disease (GERD)
21,Erick,Dentith,322123065898,Male,57,B+,130/90,202.59,143,Yes,Eczema
22,Faun,Snowman,427064494637,Female,93,A-,130/90,124.93,103,No,Testicular cancer
23,Odette,Clutram,785210518062,Female,70,A-,110/70,148.69,157,Yes,Pneumonia
24,Gilda,Stainland,570977552941,Female,90,A-,110/70,122.13,83,Yes,Prostatitis
25,Cathrin,Flowerdew,536915814962,Female,23,O+,125/85,113.85,72,No,Chronic obstructive pulmonary disease (COPD)
26,Dillon,Attac,438525807157,Male,45,O-,140/95,184.82,177,Yes,Cardiovascular disease
27,Homere,Judron,442582067771,Male,5,AB+,130/90,234.94,156,Yes,Gastroenteritis
28,Edita,Carrivick,454628887110,Female,41,A+,140/95,106.22,103,Yes,Von Willebrand disease
29,Neron,Purtell,609161751118,Male,89,A-,120/80,111.76,89,Yes,Atherosclerosis
30,Philippine,Wescott,668195588687,Female,6,O+,110/70,166.22,75,No,Gastroenteritis
31,Vitoria,Janaway,985167997523,Female,34,B+,125/85,219.18,188,Yes,Kidney cancer
32,Twyla,Selman,396425480788,Female,10,O+,125/85,154.22,98,Yes,Lymphoma
33,Gayler,Daye,212823075419,Male,43,A-,140/95,106.75,190,Yes,Sleep apnea
34,Saundra,Jahnel,644070124125,Male,20,A-,120/80,107.23,86,Yes,Psoriasis
35,Meggie,Vesty,117230463595,Female,59,A+,125/85,155.66,189,Yes,Eczema
36,Henriette,Jandera,408880482933,Agender,93,AB+,140/95,260.1,78,No,Gout
37,Alano,Mulhall,227016526455,Male,82,O-,130/90,183.59,199,Yes,Cataracts
38,Antonella,Ouver,516135242362,Agender,33,A-,120/80,170.09,92,Yes,Glaucoma
